issue_count,TRANS.zipcode,TRANS.STATE
921,48382,MI
633,33071,FL
463,33173,FL
378,76116,TX
321,92101,CA
319,20744,MD
318,20774,MD
306,30349,GA
303,92626,CA
298,11375,NY
290,90046,CA
284,30331,GA
275,32256,FL
264,30058,GA
262,30039,GA
262,30044,GA
260,20002,DC
258,33025,FL
256,76028,TX
254,92660,CA
252,20772,MD
252,30043,GA
251,77065,TX
247,91730,CA
245,92656,CA
243,33409,FL
243,75052,TX
230,21117,MD
228,11230,NY
227,20011,DC
222,33411,FL
221,11234,NY
221,20009,DC
221,30034,GA
218,33027,FL
217,30281,GA
216,11236,NY
214,92336,CA
213,28269,NC
209,10010,NY
209,19701,DE
209,30294,GA
208,91335,CA
207,20874,MD
207,30052,GA
207,90047,CA
206,30087,GA
205,60629,IL
204,20001,DC
204,30066,GA
204,33433,FL
203,20735,MD
203,22192,VA
199,10025,NY
198,34953,FL
197,30038,GA
197,33414,FL
196,30024,GA
196,37013,TN
195,10016,NY
195,20748,MD
195,75070,TX
194,10024,NY
194,92592,CA
192,08753,NJ
192,90069,CA
191,20910,MD
190,22304,VA
190,30096,GA
188,30016,GA
185,89052,NV
184,89148,NV
183,33029,FL
183,91709,CA
183,92881,CA
182,20814,MD
181,07712,NJ
181,21222,MD
181,89123,NV
180,19803,DE
180,20706,MD
180,33186,FL
180,60657,IL
179,28277,NC
179,33063,FL
179,94565,CA
178,10977,NY
178,28027,NC
177,11201,NY
177,11434,NY
177,22193,VA
177,30253,GA
177,93065,CA
176,19720,DE
176,92563,CA
174,92677,CA
173,10023,NY
173,20878,MD
172,22191,VA
172,30135,GA
172,33176,FL
172,60640,IL
171,33024,FL
170,33155,FL
170,60445,IL
170,92562,CA
169,08701,NJ
167,19702,DE
167,20147,VA
167,20743,MD
167,28078,NC
167,30340,GA
167,80134,CO
167,94605,CA
166,33065,FL
166,33321,FL
166,33647,FL
165,11219,NY
165,33172,FL
165,33311,FL
164,20721,MD
163,08873,NJ
163,20020,DC
163,33126,FL
163,33157,FL
163,33496,FL
163,94513,CA
162,11207,NY
162,33169,FL
162,77084,TX
161,11229,NY
161,77449,TX
160,10314,NY
160,11235,NY
160,30013,GA
160,94533,CA
159,30083,GA
159,30126,GA
158,33312,FL
157,11233,NY
157,33324,FL
157,33617,FL
156,10462,NY
156,30080,GA
156,32828,FL
156,60619,IL
156,75104,TX
156,95825,CA
155,92880,CA
154,10031,NY
154,22030,VA
153,10011,NY
153,11377,NY
153,33023,FL
152,08053,NJ
152,20747,MD
152,76244,TX
152,90025,CA
152,91001,CA
151,75034,TX
151,85032,AZ
151,95758,CA
150,11221,NY
150,11226,NY
150,20906,MD
150,28216,NC
150,33134,FL
150,33177,FL
150,43081,OH
150,60628,IL
150,98133,WA
149,30078,GA
149,60615,IL
149,90019,CA
