issue_count,TRANS.STATE
64593,CA
42790,FL
32378,TX
31957,NY
19493,GA
18664,NJ
16439,PA
15954,IL
14564,VA
14458,MD
14256,OH
12123,NC
12060,MI
9640,AZ
9157,WA
9125,MA
7611,CO
6523,TN
5877,MO
5457,SC
5374,CT
5327,OR
5256,MN
5128,NV
5084,WI
4973,IN
4361,AL
4033,LA
3096,KY
2827,OK
2510,DC
2427,DE
2383,NH
2256,UT
2181,KS
2089,NM
2006,MS
1849,IA
1811,AR
1594,RI
1553,ME
1502,HI
1474,ID
1405,NE
1152,WV
792,VT
699,MT
616,SD
484,AK
434,WY
375,ND
28,VI
24,FM
21,MH
19,PR
11,GU
7,PW
6,AP
6,AS
5,MP
2,AA
