Product_issue_count,TRANS.STATE,TRANS.Product
6852,CA,Bank account or service
4841,FL,Bank account or service
4821,NY,Bank account or service
2952,TX,Bank account or service
2657,NJ,Bank account or service
2375,PA,Bank account or service
2141,IL,Bank account or service
2052,GA,Bank account or service
1701,OH,Bank account or service
1689,MD,Bank account or service
1536,MA,Bank account or service
1473,VA,Bank account or service
1403,NC,Bank account or service
1277,MI,Bank account or service
1094,AZ,Bank account or service
913,WA,Bank account or service
789,CO,Bank account or service
779,CT,Bank account or service
743,TN,Bank account or service
656,MN,Bank account or service
629,OR,Bank account or service
579,NV,Bank account or service
558,IN,Bank account or service
546,MO,Bank account or service
503,SC,Bank account or service
502,AL,Bank account or service
490,WI,Bank account or service
394,LA,Bank account or service
392,DC,Bank account or service
347,KY,Bank account or service
341,DE,Bank account or service
276,RI,Bank account or service
247,NH,Bank account or service
232,OK,Bank account or service
227,NM,Bank account or service
222,MS,Bank account or service
214,AR,Bank account or service
210,KS,Bank account or service
181,ME,Bank account or service
179,IA,Bank account or service
178,UT,Bank account or service
174,NE,Bank account or service
130,ID,Bank account or service
118,HI,Bank account or service
117,WV,Bank account or service
111,VT,Bank account or service
63,SD,Bank account or service
60,AK,Bank account or service
50,MT,Bank account or service
32,ND,Bank account or service
24,WY,Bank account or service
7,VI,Bank account or service
2,MP,Bank account or service
2,PR,Bank account or service
1,AS,Bank account or service
1,MH,Bank account or service
1707,CA,Consumer Loan
1236,TX,Consumer Loan
1221,FL,Consumer Loan
891,NY,Consumer Loan
743,GA,Consumer Loan
692,OH,Consumer Loan
663,NJ,Consumer Loan
617,PA,Consumer Loan
551,VA,Consumer Loan
536,MD,Consumer Loan
521,NC,Consumer Loan
500,IL,Consumer Loan
422,MI,Consumer Loan
361,AZ,Consumer Loan
319,TN,Consumer Loan
284,SC,Consumer Loan
253,AL,Consumer Loan
246,MO,Consumer Loan
242,CO,Consumer Loan
227,MA,Consumer Loan
206,WA,Consumer Loan
203,WI,Consumer Loan
191,CT,Consumer Loan
186,LA,Consumer Loan
177,IN,Consumer Loan
162,NV,Consumer Loan
147,OR,Consumer Loan
145,MS,Consumer Loan
142,MN,Consumer Loan
141,KY,Consumer Loan
136,DE,Consumer Loan
135,OK,Consumer Loan
91,AR,Consumer Loan
89,DC,Consumer Loan
88,KS,Consumer Loan
80,NM,Consumer Loan
66,RI,Consumer Loan
59,IA,Consumer Loan
59,NH,Consumer Loan
58,ME,Consumer Loan
56,UT,Consumer Loan
53,NE,Consumer Loan
53,WV,Consumer Loan
49,HI,Consumer Loan
49,ID,Consumer Loan
37,VT,Consumer Loan
31,SD,Consumer Loan
19,ND,Consumer Loan
18,MT,Consumer Loan
12,AK,Consumer Loan
12,WY,Consumer Loan
1,PW,Consumer Loan
1,VI,Consumer Loan
7082,CA,Credit card
5221,NY,Credit card
4547,FL,Credit card
3309,TX,Credit card
2425,NJ,Credit card
2099,PA,Credit card
1991,IL,Credit card
1969,OH,Credit card
1860,VA,Credit card
1702,GA,Credit card
1657,MD,Credit card
1453,NC,Credit card
1440,MA,Credit card
1192,MI,Credit card
1167,AZ,Credit card
1051,WA,Credit card
1039,CO,Credit card
838,CT,Credit card
830,WI,Credit card
781,TN,Credit card
747,MN,Credit card
658,MO,Credit card
634,OR,Credit card
595,IN,Credit card
