Company_issue_count,TRANS.Company
49208,Bank of America
36079,Wells Fargo & Company
28510,JPMorgan Chase & Co.
23794,Experian
23628,Equifax
21008,Citibank
19117,"TransUnion Intermediate Holdings, Inc."
18029,Ocwen
12815,Capital One
10778,Nationstar Mortgage
7873,U.S. Bancorp
7379,Synchrony Bank
7002,Ditech Financial LLC
6409,"Navient Solutions, Inc."
5979,PNC Bank
5365,HSBC
4922,Encore Capital Group
4460,Amex
4092,SunTrust Bank
3789,Discover
3766,TD Bank US Holding Company
3476,"Select Portfolio Servicing, Inc"
2661,"Citizens Financial Group, Inc."
2446,Fifth Third Bank
2381,"Portfolio Recovery Associates, Inc."
2143,Seterus
2132,M&T Bank Corporation
2097,Barclays PLC
2073,BB&T Financial
1885,"Enhanced Recovery Company, LLC"
1880,Regions Financial Corporation
1748,Ally Financial Inc.
1700,Santander Bank US
1669,USAA Savings
1619,"Expert Global Solutions, Inc."
1540,Specialized Loan Servicing LLC
1492,Flagstar Bank
1452,Santander Consumer USA
1402,AES/PHEAA
1356,Resurgent Capital Services L.P.
1328,CIT Bank National Association
1290,PayPal
1220,KeyBank NA
1200,PHH Mortgage
1196,Navy FCU
1104,"Bayview Loan Servicing, LLC"
1092,"Caliber Home Loans, Inc"
997,"Convergent Resources, Inc."
943,Allied Interstate LLC
919,TCF National Bank
909,Transworld Systems Inc.
895,Delbert Services
867,The Western Union Company
865,The Huntington National Bank
818,"Enova International, Inc."
797,"CashCall, Inc."
780,BBVA Compass
766,"Carrington Mortgage Holdings, LLC."
766,"Dynamic Recovery Solutions, LLC"
745,"Diversified Consultants, Inc."
739,"FNIS (Fidelity National Information Services, Inc.)"
735,MoneyGram
717,EverBank
710,Quicken Loans
687,"Afni, Inc."
671,"I.C. System, Inc."
664,"EOS Holdings, Inc."
656,Sallie Mae
639,BMO Harris
637,Comerica
609,"PennyMac Loan Services, LLC"
598,Residential Credit Solutions
590,"Cavalry Investments, LLC"
553,"OneMain Financial Holdings, LLC"
550,CNG Financial Corporation
527,Stellar Recovery Inc.
518,Alorica Inc.
509,First National Bank of Omaha
496,"CCS Financial Services, Inc."
492,"Servis One, Inc."
490,Selene Finance
480,Bank of the West
478,Receivables Performance Management LLC
477,"The CBE Group, Inc."
473,"Shellpoint Partners, LLC"
456,"National Credit Systems,Inc."
448,"Commonwealth Financial Systems, Inc."
437,Rushmore Loan Management Services LLC
423,"Pinnacle Credit Services, LLC"
417,"Community Choice Financial, Inc."
406,ACE Cash Express Inc.
404,First Niagara Bank
403,Toyota Motor Credit Corporation
394,Loan Care
385,GM Financial
377,"Hunter Warfield, Inc."
375,Arvest Bank
370,ACS Education Services
369,"First National Collection Bureau, Inc."
366,"Empowerment Ventures, LLC"
365,Pentagon FCU
363,First Data Corporation
349,"Credit Protection Association, L.P."
346,Freedom Mortgage
345,Union Bank
342,Round Point Mortgage
325,Genesis Lending
311,American Honda Finance Corporation
309,AllianceOne Recievables Management
308,New York Community Bank
308,"The CMI Group, Inc."
304,"Southwest Credit Systems, L.P."
291,"Premium Asset Services, LLC"
290,"Retrieval-Masters Creditors Bureau, Inc."
287,Speedy Cash Holdings
286,Nissan Motor Acceptance Corporation
284,Penn Credit Corporation
273,First Tennessee Bank
268,"National Credit Adjusters, LLC"
264,"I.Q. Data International, Inc."
263,"CL Holdings, LLC"
262,Performant Financial Corporation
259,"Fay Servicing, LLC"
257,Real Time Resolutions
254,Banco Popular North America
252,FirstMerit Bank
251,Provident Funding
249,Credit Acceptance Corporation
246,"ECMC Group, Inc."
245,Ford Motor Credit Company
240,GC Services Limited Partnership
239,"NRA Group, LLC"
237,SquareTwo Financial Corporation
237,"URS Holding, LLC"
236,"FAIR COLLECTIONS & OUTSOURCING, INC."
236,Hyundai Capital America
233,Tenet HealthCare Corporation
228,"CMRE Financial Services, Inc."
227,Focus Holding Company
227,"MNE Services, Inc"
227,State Farm Bank
226,Dovenmuehle Mortgage Inc.
224,Morgan Stanley
222,"HOVG, LLC"
217,"Northland Group, Inc."
214,"Advance America, Cash Advance Centers, Inc."
214,BOK Financial Corp
214,"Enhanced Acquisitions, LLC"
210,People's United Bank
207,Sterling Jewelers Inc.
207,Synovus Bank
201,"National Enterprise Systems, Inc."
199,RMP Group Inc.
194,"ProCollect, Inc"
193,Security Finance
192,Vanderbilt Mortgage & Finance
191,Arbor Residential Mortgage LLC
189,"Pressler & Pressler, LLP"
185,21st Mortgage Corporation
183,"NetSpend Corporation,  a TSYS Company"
183,Statebridge Company
181,MetLife Bank
180,"Weltman, Weinberg & Reis"
177,"Westlake Services, LLC"
174,Astoria Bank
174,TMX Finance LLC
171,"Debt Recovery Solutions, LLC"
171,"HCFS Health Care Financial Services, Inc."
171,Webster Bank
169,"Trident Asset Management, L.L.C."
167,Zions Bancorporation
166,"FirstSource Advantage, LLC"
164,Associated Bank
163,BankUnited
161,"Frederick J. Hanna & Associates, P.C."
160,BMW Financial Services
160,"Williams & Fudge, Inc"
